"species","stressor","dose","rep","response"
"Lettuce","NaCl",0,1,101.519910698319
"Lettuce","NaCl",0,2,111.12654264283
"Lettuce","NaCl",0,3,98.859340421088
"Lettuce","NaCl",0,4,97.8259038717899
"Lettuce","NaCl",0,5,97.4645811896404
"Lettuce","NaCl",0,6,94.3701388837641
"Lettuce","NaCl",25,1,99.1828683753174
"Lettuce","NaCl",25,2,97.9735522532281
"Lettuce","NaCl",25,3,97.7045451425809
"Lettuce","NaCl",25,4,88.99639456383
"Lettuce","NaCl",25,5,91.8183302692135
"Lettuce","NaCl",25,6,91.5964724444856
"Lettuce","NaCl",50,1,82.0743931879821
"Lettuce","NaCl",50,2,85.1253822165026
"Lettuce","NaCl",50,3,81.1667346161587
"Lettuce","NaCl",50,4,87.9549137734109
"Lettuce","NaCl",50,5,78.0043409697081
"Lettuce","NaCl",50,6,77.9074249089949
"Lettuce","NaCl",100,1,73.1782055149169
"Lettuce","NaCl",100,2,63.9709532489111
"Lettuce","NaCl",100,3,45.8396848965175
"Lettuce","NaCl",100,4,59.1759900239708
"Lettuce","NaCl",100,5,65.6662922084104
"Lettuce","NaCl",100,6,62.6133381612636
"Lettuce","NaCl",200,1,29.6128202362405
"Lettuce","NaCl",200,2,28.7613636546903
"Lettuce","NaCl",200,3,28.6972078059982
"Lettuce","NaCl",200,4,49.5270382933405
"Lettuce","NaCl",200,5,42.7382276156585
"Lettuce","NaCl",200,6,22.9636782123072
"Lettuce","NaCl",400,1,17.1752457865773
"Lettuce","NaCl",400,2,16.7130746416046
"Lettuce","NaCl",400,3,11.9790226860049
"Lettuce","NaCl",400,4,9.25871382508814
"Lettuce","NaCl",400,5,17.3295102554942
"Lettuce","NaCl",400,6,29.6189654071542
"Lettuce","NaCl",800,1,3.93586905855136
"Lettuce","NaCl",800,2,23.462648087839
"Lettuce","NaCl",800,3,5.71348207963428
"Lettuce","NaCl",800,4,17.6987353478792
"Lettuce","NaCl",800,5,2.27296452164286
"Lettuce","NaCl",800,6,17.5331957185517
"Lettuce","Cu",0,1,96.7105679566836
"Lettuce","Cu",0,2,97.5520632509559
"Lettuce","Cu",0,3,89.5449055769962
"Lettuce","Cu",0,4,98.8905440233782
"Lettuce","Cu",0,5,94.9356293881018
"Lettuce","Cu",0,6,92.4336049846363
"Lettuce","Cu",5,1,98.6834564445632
"Lettuce","Cu",5,2,104.385325649485
"Lettuce","Cu",5,3,92.4507500257325
"Lettuce","Cu",5,4,99.6399645863144
"Lettuce","Cu",5,5,96.3694482950475
"Lettuce","Cu",5,6,98.72355812317
"Lettuce","Cu",10,1,98.5686261715014
"Lettuce","Cu",10,2,90.5524890567947
"Lettuce","Cu",10,3,86.3492714379174
"Lettuce","Cu",10,4,94.5512984274447
"Lettuce","Cu",10,5,97.1623946084779
"Lettuce","Cu",10,6,81.6011588882876
"Lettuce","Cu",25,1,44.049787838856
"Lettuce","Cu",25,2,56.4080447415604
"Lettuce","Cu",25,3,57.0559347896175
"Lettuce","Cu",25,4,61.8045157078107
"Lettuce","Cu",25,5,61.1208559973459
"Lettuce","Cu",25,6,64.7742467331558
"Lettuce","Cu",50,1,32.997866691428
"Lettuce","Cu",50,2,24.0773321126061
"Lettuce","Cu",50,3,32.0065682498772
"Lettuce","Cu",50,4,42.1616720164037
"Lettuce","Cu",50,5,34.5345875745949
"Lettuce","Cu",50,6,32.3715080730518
"Lettuce","Cu",100,1,18.0331358397447
"Lettuce","Cu",100,2,1.86174835314757
"Lettuce","Cu",100,3,0
"Lettuce","Cu",100,4,16.2202789614993
"Lettuce","Cu",100,5,21.2602615622943
"Lettuce","Cu",100,6,23.6123052729525
"Lettuce","Cu",200,1,1.65621638819075
"Lettuce","Cu",200,2,4.51109018209709
"Lettuce","Cu",200,3,11.6012902205363
"Lettuce","Cu",200,4,12.4015227862065
"Lettuce","Cu",200,5,4.90771385187365
"Lettuce","Cu",200,6,10.162663025963
"Lettuce","Glyphosate",0,1,99.4135840904722
"Lettuce","Glyphosate",0,2,101.580736535857
"Lettuce","Glyphosate",0,3,110.230078054398
"Lettuce","Glyphosate",0,4,108.842841067386
"Lettuce","Glyphosate",0,5,94.8759566028746
"Lettuce","Glyphosate",0,6,101.484398596989
"Lettuce","Glyphosate",1,1,105.9186631845
"Lettuce","Glyphosate",1,2,103.611884935325
"Lettuce","Glyphosate",1,3,101.503169058041
"Lettuce","Glyphosate",1,4,97.6871786273657
"Lettuce","Glyphosate",1,5,99.1460715747888
"Lettuce","Glyphosate",1,6,106.069492926758
"Lettuce","Glyphosate",3,1,96.2712197606735
"Lettuce","Glyphosate",3,2,92.75424090958
"Lettuce","Glyphosate",3,3,99.4505206903983
"Lettuce","Glyphosate",3,4,91.9943282198511
"Lettuce","Glyphosate",3,5,93.674617969534
"Lettuce","Glyphosate",3,6,92.520549586285
"Lettuce","Glyphosate",10,1,70.3158683553835
"Lettuce","Glyphosate",10,2,63.1625551927487
"Lettuce","Glyphosate",10,3,72.2806687885029
"Lettuce","Glyphosate",10,4,59.2287927173948
"Lettuce","Glyphosate",10,5,67.0379230970744
"Lettuce","Glyphosate",10,6,71.6303927597992
"Lettuce","Glyphosate",30,1,45.6600695398908
"Lettuce","Glyphosate",30,2,46.3757091002564
"Lettuce","Glyphosate",30,3,38.9258332440456
"Lettuce","Glyphosate",30,4,25.8947543190053
"Lettuce","Glyphosate",30,5,18.0111053785454
"Lettuce","Glyphosate",30,6,16.870771237631
"Lettuce","Glyphosate",100,1,19.9905817981904
"Lettuce","Glyphosate",100,2,22.7043771321049
"Lettuce","Glyphosate",100,3,12.6088772252499
"Lettuce","Glyphosate",100,4,2.09485738542739
"Lettuce","Glyphosate",100,5,24.1486008200439
"Lettuce","Glyphosate",100,6,12.0906433999656
"Lettuce","Glyphosate",300,1,3.15816309345673
"Lettuce","Glyphosate",300,2,3.19945613202137
"Lettuce","Glyphosate",300,3,6.74677711008684
"Lettuce","Glyphosate",300,4,0.281233669219356
"Lettuce","Glyphosate",300,5,14.2180498456484
"Lettuce","Glyphosate",300,6,4.69296944297484
"Cress","NaCl",0,1,98.0911242493152
"Cress","NaCl",0,2,101.004431681953
"Cress","NaCl",0,3,99.9106397466355
"Cress","NaCl",0,4,95.6623878114305
"Cress","NaCl",0,5,96.5537097385352
"Cress","NaCl",0,6,103.276385912852
"Cress","NaCl",25,1,97.2078292579189
"Cress","NaCl",25,2,88.1110336214101
"Cress","NaCl",25,3,92.5033823849359
"Cress","NaCl",25,4,99.0297187020018
"Cress","NaCl",25,5,88.0074790024435
"Cress","NaCl",25,6,96.343991387655
"Cress","NaCl",50,1,89.5832132950454
"Cress","NaCl",50,2,76.9348579435537
"Cress","NaCl",50,3,91.4433920584668
"Cress","NaCl",50,4,91.0369992995422
"Cress","NaCl",50,5,91.0607135812468
"Cress","NaCl",50,6,83.324372309272
